case_key,display_label,batch_size,fresh_len,prefix_len,real_mean_ms,real_std_ms,real_count,aic_mean_ms,aic_std_ms,aic_count,pct_increase_vs_aic_mean
req1_equal_fresh_irregular_b1_f4500_p0|prefill|b1|f4500|p0,"b1
f4500
p0",1,4500,0,60.67962960000001,122.61711327335139,5,2.799026265957524,0.0,5,2067.883536428409
req1_equal_fresh_irregular_b1_f6000_p0|prefill|b1|f6000|p0,"b1
f6000
p0",1,6000,0,67.2523884,124.77623153321498,5,4.017983357001034,0.0,5,1573.7846433041532
req1_equal_fresh_regular_b1_f8192_p0|prefill|b1|f8192|p0,"b1
f8192
p0",1,8192,0,70.8073906,105.91732960927841,5,6.3943,0.0,5,1007.3517132446085
req1_equal_prefix_regular_b1_f8192_p0|prefill|b1|f8192|p0,"b1
f8192
p0",1,8192,0,62.0911814,94.59395894655744,5,6.3943,0.0,5,871.0395414666187
req1_equal_prefix_regular_b1_f8192_p1024|prefill|b1|f8192|p1024,"b1
f8192
p1024",1,8192,1024,25.096251000000002,14.11885792353578,5,7.862828089076226,0.0,5,219.17588322789427
req1_equal_prefix_regular_b1_f8192_p4096|prefill|b1|f8192|p4096,"b1
f8192
p4096",1,8192,4096,33.8461632,19.145515611815714,5,11.005445004383091,0.0,5,207.54016022541782
req1_equal_prefix_regular_b1_f8192_p8192|prefill|b1|f8192|p8192,"b1
f8192
p8192",1,8192,8192,45.8654164,26.23261534078197,5,15.246075,0.0,5,200.8342566857372
req1_equal_prefix_regular_b1_f8192_p10500|prefill|b1|f8192|p10500,"b1
f8192
p10500",1,8192,10500,52.2474116,29.646348550051208,5,17.72003337630506,0.0,5,194.84939723569812
req1_equal_prefix_regular_b1_f8192_p32000|prefill|b1|f8192|p32000,"b1
f8192
p32000",1,8192,32000,112.0253852,61.85410410213887,5,42.00454545921361,0.0,5,166.6982441430692
req1_equal_fresh_regular_b2_f4096_p0|prefill|b2|f4096|p0,"b2
f4096
p0",2,4096,0,19.3250824,12.245143437168318,5,4.5199,0.0,5,327.55552998960155
req1_equal_prefix_regular_b2_f4096_p4096|prefill|b2|f4096|p4096,"b2
f4096
p4096",2,4096,4096,30.4789798,17.682058350332966,5,9.8025,0.0,5,210.93067890844173
req1_equal_fresh_regular_b4_f512_p0|prefill|b4|f512|p0,"b4
f512
p0",4,512,0,2.3515653999999997,0.3962260007322839,5,1.0149,0.0,5,131.70414819194008
req1_equal_prefix_regular_b4_f512_p512|prefill|b4|f512|p512,"b4
f512
p512",4,512,512,2.8000692000000003,0.40218948104121266,5,1.3116,0.0,5,113.4849954254346
req1_equal_fresh_irregular_b4_f1200_p0|prefill|b4|f1200|p0,"b4
f1200
p0",4,1200,0,9.746070399999999,6.304446719043138,5,2.188778516561059,0.0,5,345.2743996826469
req1_equal_fresh_regular_b4_f2048_p0|prefill|b4|f2048|p0,"b4
f2048
p0",4,2048,0,17.8615738,11.848733893331712,5,3.661,0.0,5,387.8878393881453
req1_equal_prefix_regular_b4_f2048_p1024|prefill|b4|f2048|p1024,"b4
f2048
p1024",4,2048,1024,19.8935092,12.182597489296636,5,6.082912188819449,0.0,5,227.03923026481934
req1_equal_fresh_regular_b8_f1_p0|prefill|b8|f1|p0,"b8
f1
p0",8,1,0,1.1051754,0.10835965118899185,5,0.757,0.0,5,45.99410832232497
req1_equal_fresh_irregular_b12_f300_p0|prefill|b12|f300|p0,"b12
f300
p0",12,300,0,5.093137799999999,2.335920902775006,5,1.5368752251552371,0.0,5,231.39566027460364
