case_key,display_label,batch_size,fresh_len,prefix_len,real_mean_ms,real_std_ms,real_count,aic_mean_ms,aic_std_ms,aic_count,pct_increase_vs_aic_mean
req1_equal_fresh_regular_b1_f1_p0|decode|b1|f1|p0,"b1
f1
p0",1,1,0,1.9854756000000002,0.1728284277325028,10,0.10289999999999991,0.0,10,1829.5195335276985
req1_equal_fresh_irregular_b1_f4500_p0|decode|b1|f4500|p0,"b1
f4500
p0",1,4500,0,2.8370196,0.5570947904430628,5,0.1206262939453125,0.0,5,2251.9081182135956
req1_equal_fresh_irregular_b1_f6000_p0|decode|b1|f6000|p0,"b1
f6000
p0",1,6000,0,6.816853,5.067394237467764,5,0.1218347900390625,0.0,5,5495.161281777061
req1_equal_fresh_regular_b1_f8192_p0|decode|b1|f8192|p0,"b1
f8192
p0",1,8192,0,29.556316,6.12418716014093,5,0.12360069580078119,0.0,5,23812.74240691871
req1_equal_prefix_regular_b1_f8192_p0|decode|b1|f8192|p0,"b1
f8192
p0",1,8192,0,20.062556,6.439302078900477,5,0.12360069580078119,0.0,5,16131.750048022948
req1_equal_prefix_regular_b1_f8192_p1024|decode|b1|f8192|p1024,"b1
f8192
p1024",1,8192,1024,41.8091388,5.087466859334043,5,0.12431319580078122,0.0,5,33532.100382168166
req1_equal_prefix_regular_b1_f8192_p4096|decode|b1|f8192|p4096,"b1
f8192
p4096",1,8192,4096,58.830848200000005,4.592765873069379,5,0.1264506958007812,0.0,5,46424.73268528789
req1_equal_prefix_regular_b1_f8192_p8192|decode|b1|f8192|p8192,"b1
f8192
p8192",1,8192,8192,82.5439494,3.7301728039772963,5,0.1293006958007812,0.0,5,63738.75112874782
req1_equal_prefix_regular_b1_f8192_p10500|decode|b1|f8192|p10500,"b1
f8192
p10500",1,8192,10500,93.4356012,3.675597625610043,5,0.1309066040039062,0.0,5,71275.77352263444
req1_equal_prefix_regular_b1_f8192_p32000|decode|b1|f8192|p32000,"b1
f8192
p32000",1,8192,32000,192.9463842,4.05248099442375,5,0.1458663208007812,0.0,5,132176.17118246164
req1_equal_fresh_regular_b2_f4096_p0|decode|b2|f4096|p0,"b2
f4096
p0",2,4096,0,38.101919599999995,3.584246118437848,5,0.1232010986328125,0.0,5,30826.60700498997
req1_equal_prefix_regular_b2_f4096_p4096|decode|b2|f4096|p4096,"b2
f4096
p4096",2,4096,4096,54.398625800000005,4.2800957805924975,5,0.1277011108398437,0.0,5,42498.396711070134
req1_equal_fresh_regular_b4_f512_p0|decode|b4|f512|p0,"b4
f512
p0",4,512,0,1.6744388000000001,0.11353393935603574,5,0.114306640625,0.0,5,1364.8657250747544
req1_equal_prefix_regular_b4_f512_p512|decode|b4|f512|p512,"b4
f512
p512",4,512,512,1.8990012,0.16061443760353547,5,0.11770380859375,0.0,5,1513.3727724600033
req1_equal_fresh_irregular_b4_f1200_p0|decode|b4|f1200|p0,"b4
f1200
p0",4,1200,0,19.8951158,1.936757966218081,5,0.11837412109375,0.0,5,16706.980796286927
req1_equal_fresh_regular_b4_f2048_p0|decode|b4|f2048|p0,"b4
f2048
p0",4,2048,0,37.9780686,2.6326585545512353,5,0.121602392578125,0.0,5,31131.34980720096
req1_equal_prefix_regular_b4_f2048_p1024|decode|b4|f2048|p1024,"b4
f2048
p1024",4,2048,1024,37.2263466,4.024952714479738,5,0.12405239257812499,0.0,5,29908.568014160475
req1_equal_fresh_regular_b8_f1_p0|decode|b8|f1|p0,"b8
f1
p0",8,1,0,0.9794600000000001,0.060969236353262714,5,0.1061333333333333,0.0,5,822.8580402010055
req1_equal_fresh_irregular_b12_f300_p0|decode|b12|f300|p0,"b12
f300
p0",12,300,0,4.4794854,2.930950838318821,5,0.12175488281249999,0.0,5,3579.1012372771243
