case_key,display_label,batch_size,fresh_len,prefix_len,real_mean_ms,real_std_ms,real_count,aic_mean_ms,aic_std_ms,aic_count,pct_increase_vs_aic_mean
req1_equal_fresh_regular_b1_f1_p0|decode|b1|f1|p0,"b1
f1
p0",1,1,0,1.7744031,0.12934853756717415,10,0.10289999999999991,0.0,10,1624.3956268221589
req1_equal_fresh_irregular_b1_f4500_p0|decode|b1|f4500|p0,"b1
f4500
p0",1,4500,0,2.2547646,0.28823442585818937,5,0.1206262939453125,0.0,5,1769.2148504721754
req1_equal_fresh_irregular_b1_f6000_p0|decode|b1|f6000|p0,"b1
f6000
p0",1,6000,0,0.5448768,0.8795013011947169,5,0.1218347900390625,0.0,5,347.22595231239154
req1_equal_fresh_regular_b1_f8192_p0|decode|b1|f8192|p0,"b1
f8192
p0",1,8192,0,0.1505216,0.002043419878536956,5,0.12360069580078119,0.0,5,21.780544215228172
req1_equal_prefix_regular_b1_f8192_p0|decode|b1|f8192|p0,"b1
f8192
p0",1,8192,0,0.1511744,0.00204754995055066,5,0.12360069580078119,0.0,5,22.30869658182339
req1_equal_prefix_regular_b1_f8192_p1024|decode|b1|f8192|p1024,"b1
f8192
p1024",1,8192,1024,0.153088,0.0017766485302388882,5,0.12431319580078122,0.0,5,23.14702314091579
req1_equal_prefix_regular_b1_f8192_p4096|decode|b1|f8192|p4096,"b1
f8192
p4096",1,8192,4096,0.1573504,0.0019414007314307983,5,0.1264506958007812,0.0,5,24.436167791358184
req1_equal_prefix_regular_b1_f8192_p8192|decode|b1|f8192|p8192,"b1
f8192
p8192",1,8192,8192,0.1598784,0.0003374445139574852,5,0.1293006958007812,0.0,5,23.64852254649201
req1_equal_prefix_regular_b1_f8192_p10500|decode|b1|f8192|p10500,"b1
f8192
p10500",1,8192,10500,0.1646914,0.0005878178289232277,5,0.1309066040039062,0.0,5,25.808320560424647
req1_equal_prefix_regular_b1_f8192_p32000|decode|b1|f8192|p32000,"b1
f8192
p32000",1,8192,32000,0.17866900000000002,0.0005964268605621338,5,0.1458663208007812,0.0,5,22.488178915556173
req1_equal_fresh_regular_b2_f4096_p0|decode|b2|f4096|p0,"b2
f4096
p0",2,4096,0,0.14861439999999998,0.0017360405525217403,5,0.1232010986328125,0.0,5,20.627495735999123
req1_equal_prefix_regular_b2_f4096_p4096|decode|b2|f4096|p4096,"b2
f4096
p4096",2,4096,4096,0.15933440000000001,0.0016697439324638932,5,0.1277011108398437,0.0,5,24.77135003142548
req1_equal_fresh_regular_b4_f512_p0|decode|b4|f512|p0,"b4
f512
p0",4,512,0,1.411923,0.15051302363915228,5,0.114306640625,0.0,5,1135.206451943614
req1_equal_prefix_regular_b4_f512_p512|decode|b4|f512|p512,"b4
f512
p512",4,512,512,1.7261112,0.13990236058122826,5,0.11770380859375,0.0,5,1366.4871261367625
req1_equal_fresh_irregular_b4_f1200_p0|decode|b4|f1200|p0,"b4
f1200
p0",4,1200,0,0.14744960000000001,0.0015162733262838884,5,0.11837412109375,0.0,5,24.56236095997941
req1_equal_fresh_regular_b4_f2048_p0|decode|b4|f2048|p0,"b4
f2048
p0",4,2048,0,0.1513856,0.0029761204276708944,5,0.121602392578125,0.0,5,24.49228735589262
req1_equal_prefix_regular_b4_f2048_p1024|decode|b4|f2048|p1024,"b4
f2048
p1024",4,2048,1024,0.1505088,0.0015521814326940036,5,0.12405239257812499,0.0,5,21.326801419983454
req1_equal_fresh_regular_b8_f1_p0|decode|b8|f1|p0,"b8
f1
p0",8,1,0,0.8909374,0.050394736012802,5,0.1061333333333333,0.0,5,739.4510678391963
req1_equal_fresh_irregular_b12_f300_p0|decode|b12|f300|p0,"b12
f300
p0",12,300,0,0.4343422,0.6374749483518548,5,0.12175488281249999,0.0,5,256.734933307667
